question,answer
which kind of dataset you have,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
which kind of database you have,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
where are your data from,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
show me your dataset,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
where do you get data from,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
what data do you use,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
can you tell me the data source,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
Where did you get your data?,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
From where did you source your data?,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
Can you mention your data's origin?,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
What's the origin of your data?,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
Which database or source did you use for this?,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
How did you gather the data?,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
Where have you collected this data from?,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
What's the reference for this data?,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
Can you provide us your source of data?,"So far we have 4 datasets: DB-1 is 30-yr ROMS model simulated sea surface temperature, salinity and elevation data in the gulf and eastern coasta of US. DB-2 is The World Ocean Atlas (WOA) from NOAA ; DB 3 is the Global Relative Sea Level (RSL) trends measured by local tide gauges maintained by NOAA; DB 4 is NOAA's Historical Hurricane Tracks in the western Atlantic Ocean; and DB 5 is NOAA's Concentration of chlorophyll a derived from ocean color remote sensing"
